X,Y,OBJECTID,Facility_ID,FacilityName,StreetNo,StreetName,StreetType,SuburbTown,Postcode,Latitude,Longitude,FaciltySportPlayedID,SportsPlayed,NumberFieldCourts,FieldSurfaceType,FacilityAge,FacilityCondition,FacilityUpgradeAge,Changerooms,LGA
144.760113,-37.702404,1408,BRIMBA8402,Sydenham Primary School,,Community,Hub,SYDENHAM,3037,-37.702404,144.760113,26414,Basketball,,,,,,,BRIMBANK
144.812193,-37.798696,1409,BRIMBA8407,West Sunshine Community Centre,25,Kermeen,Street,SUNSHINE,3020,-37.798696,144.812193,26421,Basketball,,,,,,,BRIMBANK
144.837251,-37.73029,1410,BRIMBA8333,Brimbank Park,,Keilor Park,Drive,KEILOR,3036,-37.73029,144.837251,26299,BMX,,,,,,,BRIMBANK
144.810941,-37.770928,1411,BRIMBA8336,Carrington Reserve,,Carrington,Drive,ALBION,3020,-37.770928,144.810941,26303,BMX,,,,,,,BRIMBANK
144.843339,-37.783767,1414,BRIMBA8379,Max Bowman Gymnasium,10,Dorothy,Avenue,SUNSHINE,3020,-37.783767,144.843339,26379,Boxing,,,,,,,BRIMBANK
144.808299,-37.717249,1415,BRIMBA8367,Keilor Downs Primary School,,Swindon,Crescent,KEILOR DOWNS,3038,-37.717249,144.808299,26352,Callisthenics,,,,,,,BRIMBANK
144.810649,-37.742532,1416,BRIMBA8395,St Albans East Primary School,,Station,Avenue,ST ALBANS,3021,-37.742532,144.810649,26405,Callisthenics,,,,,,,BRIMBANK
144.823844,-37.797168,1418,BRIMBA8327,Arthur Beachley Reserve,,Ardoyne,Street,SUNSHINE,3020,-37.797168,144.823844,26291,Cricket,1,,,,,,BRIMBANK
144.765845,-37.791913,1419,BRIMBA8328,Balmoral Park Reserve,,Windsor,Boulevard,DERRIMUT,3030,-37.791913,144.765845,26293,Cricket,2,,,,,,BRIMBANK
144.763948,-37.774227,1420,BRIMBA8331,Bon Thomas Reserve,,Bayliss,Road,DEER PARK,3023,-37.774227,144.763948,26297,Cricket,2,Synthetic Pitch,,,,,BRIMBANK
